PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_CCMLITE;REQUIREMENTS_ATTRIBUTES_IAAS;REQUIREMENTS_ATTRIBUTES_PAAS;REQUIREMENTS_ATTRIBUTES_SAAS;REQUIREMENTS_ATTRIBUTES_SCOPEAPPLICABILITY;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED;FRAMEWORK;NAME
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;SEF-08;Maintain points of contact for applicable regulation authorities, national and local law enforcement, and other legal jurisdictional authorities.;Security Incident Management, E-Discovery, & Cloud Forensics;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC2.3']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['SEF-01']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['17.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['1.6.2', '1.6.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SM2.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 4.2', '27001: A.6.1.3', '27002: 6.1.3', '27017: 6.1.3', '27018: 6.1.3', '27001: A.16.1.1', '27002: 16.1.1', '27001: A.18.1.1', '27002: 18.1.1', '27017: 18.1.1', '27018: 18.1.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.5', '27001: A.5.24', '27002: 5.24 Incident management procedure (d)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['IR-4', 'IR-4(8)', 'IR-6', 'IR-6(3)', 'IR-7', 'IR-7(2)', 'PM-21', 'PM-23', 'PM-26']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.GV-2', 'RS.CO-3', 'RS.CO-4']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['GV.RR-02', 'RS.CO-02', 'RS.CO-03']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['12.10.1']}];MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::735291151388:root;735291151388;account_maintain_current_contact_details;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;SEF-08;Maintain points of contact for applicable regulation authorities, national and local law enforcement, and other legal jurisdictional authorities.;Security Incident Management, E-Discovery, & Cloud Forensics;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC2.3']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['SEF-01']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['17.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['1.6.2', '1.6.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SM2.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 4.2', '27001: A.6.1.3', '27002: 6.1.3', '27017: 6.1.3', '27018: 6.1.3', '27001: A.16.1.1', '27002: 16.1.1', '27001: A.18.1.1', '27002: 18.1.1', '27017: 18.1.1', '27018: 18.1.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.5', '27001: A.5.24', '27002: 5.24 Incident management procedure (d)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['IR-4', 'IR-4(8)', 'IR-6', 'IR-6(3)', 'IR-7', 'IR-7(2)', 'PM-21', 'PM-23', 'PM-26']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.GV-2', 'RS.CO-3', 'RS.CO-4']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['GV.RR-02', 'RS.CO-02', 'RS.CO-03']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['12.10.1']}];FAIL;SECURITY, BILLING and OPERATIONS contacts not found or they are not different between each other and between ROOT contact.;arn:aws:iam::735291151388:root;735291151388;account_maintain_different_contact_details_to_security_billing_and_operations;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;SEF-08;Maintain points of contact for applicable regulation authorities, national and local law enforcement, and other legal jurisdictional authorities.;Security Incident Management, E-Discovery, & Cloud Forensics;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC2.3']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['SEF-01']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['17.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['1.6.2', '1.6.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SM2.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 4.2', '27001: A.6.1.3', '27002: 6.1.3', '27017: 6.1.3', '27018: 6.1.3', '27001: A.16.1.1', '27002: 16.1.1', '27001: A.18.1.1', '27002: 18.1.1', '27017: 18.1.1', '27018: 18.1.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.5', '27001: A.5.24', '27002: 5.24 Incident management procedure (d)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['IR-4', 'IR-4(8)', 'IR-6', 'IR-6(3)', 'IR-7', 'IR-7(2)', 'PM-21', 'PM-23', 'PM-26']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.GV-2', 'RS.CO-3', 'RS.CO-4']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['GV.RR-02', 'RS.CO-02', 'RS.CO-03']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['12.10.1']}];MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::735291151388:root;735291151388;account_security_contact_information_is_registered;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;BCR-08;Periodically backup data stored in the cloud. Ensure the confidentiality, integrity and availability of the backup, and verify data restoration from backup for resiliency.;Business Continuity Management and Operational Resilience;Yes;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['A1.2', 'A1.3']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['BCR-11']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['11.1', '11.2', '11.3', '11.4', '11.5']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['5.2.8', '5.2.9']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SY2.3']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: A.12.3', '27017: 12.3', '27018: 12.3.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.8.13', '27001: A.5.23', '27001: A.5.30', '27002: 8.13', '27002: 5.23 2nd (i)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['CP-4', 'CP-4(4)', 'CP-6', 'CP-6(1)-(3)', 'CP-9', 'CP-9(1)', 'CP-9(2)', 'CP-10', 'CP-10(2)', 'CP-10(4)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.IP-4', 'PR.DS-1']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.DS-01', 'PR.DS-11', 'RC.RP-03']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['9.5.1', '12.10.1']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['12.10.1', '10.3.3']}];FAIL;No Backup Vault exist.;arn:aws:backup:ap-south-1:735291151388:backup-vault;735291151388;backup_vaults_exist;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;IAM-12;Define, implement and evaluate processes, procedures and technical measures to ensure the logging infrastructure is read-only for all with write access, including privileged access roles, and that the ability to disable it is controlled through a procedure that ensures the segregation of duties and break glass procedures.;Identity & Access Management;No;Shared;Shared;Shared;[{'ReferenceId': 'CIS v8.0', 'Identifiers': ['3.3']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['4.2.1', '5.2.4']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['TM1.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: A.12.4.1', '27002: 12.4.1', '27017: 12.4.1', '27018: 12.4.1', '27001: A.12.4.2', '27002: 12.4.2', '27017: 12.4.2', '27018: 12.4.2', '27001: A.12.4.3', '27002: 12.4.3', '27017: 12.4.3', '27018: 12.4.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.8.15', '27001: A.8.18', '27002: 8.15 Protection of Logs']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['AC-2', 'AC-2(11)', 'AC-2(12)', 'IA-8', 'IA-8(4)', 'SA-8', 'SA-8(22)', 'SC-34', 'SC-34(1)', 'SC-34(2)', 'SC-36', 'SI-4', 'SI-4(5)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.AC-4']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.AA-05']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['10.5']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['10.3.1', '10.3.2', '10.3.3', '10.3.4']}];FAIL;Trail cloudguardian-trail bucket (cloudguardian-data-c8f4e2a3) does not have MFA delete enabled.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudguardian-trail;cloudtrail_bucket_requires_mfa_delete;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;LOG-02;Define, implement and evaluate processes, procedures and technical measures to ensure the security and retention of audit logs.;Logging and Monitoring;No;Shared;Shared;Shared;[{'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['IVS-01']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['8.1', '8.9', '8.1']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['3.1.3', '5.1.2', '5.2.4']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['TM1.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: A.18.1.3', '27002: 18.1.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.28', '27001: A.5.33', '27001: A.8.15']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['AU-4', 'AU-11']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.AC-4', 'PR.IP-4', 'PR.IP-6', 'PR.PT-1', 'PR.DS-1']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.AA-05', 'PR.DS-01', 'PR.DS-02', 'ID.AM-08', 'PR.DS-11', 'PR.PS-04']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['10.5', '10.7']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['10.3.1', '10.3.2', '10.3.3', '10.3.4', '10.5.1']}];FAIL;Trail cloudguardian-trail bucket (cloudguardian-data-c8f4e2a3) does not have MFA delete enabled.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudguardian-trail;cloudtrail_bucket_requires_mfa_delete;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;LOG-08;Generate audit records containing relevant security information.;Logging and Monitoring;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC7.2']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['8.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['5.2.4']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['TM1.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: A.12.4.1', '27002: 12.4.1', '27017: 12.4.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.8.15']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['AU-3', 'AU-3(1)', 'AU-3(3)', 'AU-6', 'AU-6(8)', 'AU-12', 'AU-12(1)', 'AU-12(2)', 'AU-12(3)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.PT-1', 'DE.AE-3', 'DE.CM-1', 'DE.CM-2', 'DE.CM-3', 'DE.CM-6', 'DE.CM-7']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.PS-04', 'DE.CM-01', 'DE.CM-02', 'DE.CM-03', 'DE.CM-06', 'DE.CM-09']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['10.3']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['10.2.2']}];FAIL;Single region trail cloudguardian-trail has not been logging in the last 24h or is not configured to deliver logs.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudguardian-trail;cloudtrail_cloudwatch_logging_enabled;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;CEK-03;Provide cryptographic protection to data at-rest and in-transit, using cryptographic libraries certified to approved standards.;Cryptography, Encryption & Key Management;Yes;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC6.1', 'CC6.7']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['EKM-03', 'EKM-04']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['3.6', '3.1', '3.11', '11.3', '16.11']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['5.1.1', '5.1.2']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['TS2.1']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: A.18.1.1', '27001: A.18.1.2', '27001: A.18.1.3', '27001: A.18.1.4', '27001: A.18.1.5', '27001: A.10.1', '27002: 10.1', '27001: A.13.2.1', '27002: 13.2.1', '27001: A.18', '27002: 18', '27001: A.14.1.2', '27002: 14.1.2', '27001: A.14.1.3', '27002 14.1.3 c)', '27001 - A.10.1.1', '27017 - 10.1.1', '27001 - A.10.1.2', '27017 - 10.1.2']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.14', '27001: A.8.24', '27002: 8.24 Other Information (a)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['AC-19', 'AC-19(5)', 'SC-8', 'SC-8(1)', 'SC-8(3)', 'SC-8(4)', 'SC-12', 'SC-12(2)', 'SC-12(3)', 'SC-28', 'SC-28(1)-(3)', 'SI-4', 'SI-4(10)', 'SI-7', 'SI-7(6)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.DS-1', 'PR.DS-2']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.DS-01', 'PR.DS-02']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['Requirement 3', '2.2.3', '2.3', '3.4', '3.5.3', '4.1', '8.2.1', 'PCI Glossary - Strong Cryptography']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['2.2.7', '3.5.1', '4.2.1', '4.2.1.2', '4.2.2']}];FAIL;Single region trail cloudguardian-trail has encryption disabled.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudguardian-trail;cloudtrail_kms_encryption_enabled;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;IAM-12;Define, implement and evaluate processes, procedures and technical measures to ensure the logging infrastructure is read-only for all with write access, including privileged access roles, and that the ability to disable it is controlled through a procedure that ensures the segregation of duties and break glass procedures.;Identity & Access Management;No;Shared;Shared;Shared;[{'ReferenceId': 'CIS v8.0', 'Identifiers': ['3.3']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['4.2.1', '5.2.4']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['TM1.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: A.12.4.1', '27002: 12.4.1', '27017: 12.4.1', '27018: 12.4.1', '27001: A.12.4.2', '27002: 12.4.2', '27017: 12.4.2', '27018: 12.4.2', '27001: A.12.4.3', '27002: 12.4.3', '27017: 12.4.3', '27018: 12.4.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.8.15', '27001: A.8.18', '27002: 8.15 Protection of Logs']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['AC-2', 'AC-2(11)', 'AC-2(12)', 'IA-8', 'IA-8(4)', 'SA-8', 'SA-8(22)', 'SC-34', 'SC-34(1)', 'SC-34(2)', 'SC-36', 'SI-4', 'SI-4(5)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.AC-4']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.AA-05']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['10.5']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['10.3.1', '10.3.2', '10.3.3', '10.3.4']}];FAIL;Single region trail cloudguardian-trail has encryption disabled.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudguardian-trail;cloudtrail_kms_encryption_enabled;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;LOG-02;Define, implement and evaluate processes, procedures and technical measures to ensure the security and retention of audit logs.;Logging and Monitoring;No;Shared;Shared;Shared;[{'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['IVS-01']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['8.1', '8.9', '8.1']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['3.1.3', '5.1.2', '5.2.4']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['TM1.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: A.18.1.3', '27002: 18.1.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.28', '27001: A.5.33', '27001: A.8.15']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['AU-4', 'AU-11']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.AC-4', 'PR.IP-4', 'PR.IP-6', 'PR.PT-1', 'PR.DS-1']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.AA-05', 'PR.DS-01', 'PR.DS-02', 'ID.AM-08', 'PR.DS-11', 'PR.PS-04']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['10.5', '10.7']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['10.3.1', '10.3.2', '10.3.3', '10.3.4', '10.5.1']}];FAIL;Single region trail cloudguardian-trail has encryption disabled.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudguardian-trail;cloudtrail_kms_encryption_enabled;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
