PROVIDER;DESCRIPTION;SUBSCRIPTIONID;LOCATION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_CCMLITE;REQUIREMENTS_ATTRIBUTES_IAAS;REQUIREMENTS_ATTRIBUTES_PAAS;REQUIREMENTS_ATTRIBUTES_SAAS;REQUIREMENTS_ATTRIBUTES_SCOPEAPPLICABILITY;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED;FRAMEWORK;NAME
azure;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;7e3283a3-d466-4e6f-95b1-543eec016e08;global;2026-07-02 19:32:49.149800;LOG-07;Establish, document and implement which information meta/data system events should be logged. Review and update the scope at least annually or whenever there is a change in the threat environment.;Logging and Monitoring;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC7.2']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['8.1']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['5.2.4']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['TM1.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 7.5.3', '27001: A.12.4.1', '27002: 12.4.1', '27017: 12.4.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: 7.5.3', '27001: A.8.15']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['AU-1', 'AU-14', 'AU-16']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.SC-3', 'ID.SC-4', 'PR.PT-1', 'ID.GV-1']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.PS-04']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['10.3']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['10.2.1', '10.2.2']}];FAIL;There are no AppInsight configured in subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08).;/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08;7e3283a3-d466-4e6f-95b1-543eec016e08;appinsights_ensure_is_configured;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
azure;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;7e3283a3-d466-4e6f-95b1-543eec016e08;global;2026-07-02 19:32:49.149800;LOG-08;Generate audit records containing relevant security information.;Logging and Monitoring;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC7.2']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['8.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['5.2.4']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['TM1.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: A.12.4.1', '27002: 12.4.1', '27017: 12.4.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.8.15']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['AU-3', 'AU-3(1)', 'AU-3(3)', 'AU-6', 'AU-6(8)', 'AU-12', 'AU-12(1)', 'AU-12(2)', 'AU-12(3)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.PT-1', 'DE.AE-3', 'DE.CM-1', 'DE.CM-2', 'DE.CM-3', 'DE.CM-6', 'DE.CM-7']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.PS-04', 'DE.CM-01', 'DE.CM-02', 'DE.CM-03', 'DE.CM-06', 'DE.CM-09']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['10.3']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['10.2.2']}];FAIL;There are no AppInsight configured in subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08).;/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08;7e3283a3-d466-4e6f-95b1-543eec016e08;appinsights_ensure_is_configured;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
azure;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;7e3283a3-d466-4e6f-95b1-543eec016e08;global;2026-07-02 19:32:49.149800;TVM-02;Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures to protect against malware on managed assets. Review and update the policies and procedures at least annually.;Threat & Vulnerability Management;Yes;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC5.3', 'CC6.8']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['TVM-01', 'GRM-06', 'GRM-09']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['9.7', '10.1']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['1.1.1', '1.5.1', '5.2.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['TS1.2', 'TS1.3']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 5.1', '27001: 5.2', '27001: 7.3', '27001: 7.4', '27001: 7.5', '27001: 9.1', '27001: 9.3', '27001: A.5', '27002: 5', '27001: A.12.2.1', '27001: A.6.2.1', '27002: 6.2.1 (h)', '27001: A.6.2.2', '27002: 6.2.2 (j)', '27001: A.7.2.2', '27002: 7.2.2 (d)', '27001: A.10.1.1', '27002: 10.1.1 (g)', '27001: A.13.2.1', '27002: 13.2.1 (b)', '27001: A.15.1.2', '27017: 15.1.2', '27001: A.12.2.1', '27002: 12.2.1 (a),(d)', '27017: CLD.9.5.2']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: 5.1', '27001: 5.2', '27001: 7.3', '27001: 7.4', '27001: 7.5', '27001: 9.1', '27001: 9.3', '27001: A.5.1', '27001: A.5.4', '27001: A.5.7', '27001: A.5.37', '27001: A.8.7', '27002: 5.7 (b)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['RA-3', 'RA-3(3)', 'RA-5', 'RA-5(3)', 'RA-5(5)', 'SI-3', 'SI-3(4)', 'SI-3(10)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.GV-1', 'DE.CM-4', 'DE.CM-5']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['GV.PO-01', 'GV.PO-02', 'ID.IM-03', 'DE.CM-01', 'DE.CM-09']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['5.4', '12.1', '12.1.1', '12.3.1', '12.5.1', '12.11']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['12.1.1', '12.1.2', '5.1.1', '5.3.2.1']}];FAIL;Defender Auto Provisioning Log Analytics Agents from subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08) is set to OFF.;/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08/providers/Microsoft.Security/autoProvisioningSettings/default;default;defender_auto_provisioning_log_analytics_agent_vms_on;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
azure;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;7e3283a3-d466-4e6f-95b1-543eec016e08;global;2026-07-02 19:32:49.149800;AIS-05;Implement a testing strategy, including criteria for acceptance of new information systems, upgrades and new versions, which provides application security assurance and maintains compliance while enabling organizational speed of delivery goals. Automate when applicable and possible.;Application & Interface Security;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC6.8', 'CC8.1']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['AIS-01', 'AIS-03']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['16.12', '16.13']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SD2.3', 'SD2.5']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: A.14.2.8', '27001: A.14.2.9', '27001: A.12.1.2', '27002: 12.1.2', '27001: A.14.1.1', '27002: 14.1.1', '27001: A.14.2.2', '27002: 14.2.2']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.8.25', '27001: A.8.29', '27001: A.8.32', '27002: 8.25 (e)', '27002: 8.32 (d)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['SA-11', 'SA-11(1)-(9)', 'SI-6', 'SI-6(2)', 'SI-6(3)', 'SI-10', 'SI-10(1)-(6)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.IP-2', 'PR.PT-3', 'PR.IP-12', 'DE.CM-8']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['ID.AM-08', 'ID.RA-01', 'PR.PS-01', 'PR.PS-02']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['A.3.2.2', 'A.3.2.2.1', '6.6']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['6.2.4', '6.4.1', '6.4.2', '6.5.1']}];FAIL;Container image scan is disabled in subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08).;/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08/providers/Microsoft.Security/pricings/Containers;Containers;defender_container_images_scan_enabled;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
azure;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;7e3283a3-d466-4e6f-95b1-543eec016e08;global;2026-07-02 19:32:49.149800;AIS-07;Define and implement a process to remediate application security vulnerabilities, automating remediation when possible.;Application & Interface Security;Yes;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC7.1', 'CC7.4', 'CC8.1']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['TVM-02']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['16.2', '16.6']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['TM1.1']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: A.16.1.5', '27002: 16.1.5', '27017: 16.1.5', '27001: A.12.6.1', '27002: 12.6.1', '27017: 12.6.1', '27018: 12.6.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.26', '27001: A.8.8', '27002: 5.26 (j)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['SI-2', 'SI-2(2)-(6)', 'SA-11', 'SA-11(2)', 'SA-15', 'SA-15(1)-(3)', 'SA-15(5)-(8)', 'SA-15(10)-(12)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.IP-2', 'PR.IP-12', 'DE.CM-8', 'RS.AN-5', 'RS.MI-3', 'PR.DS-6']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['ID.AM-08', 'ID.RA-01', 'ID.RA-06', 'ID.RA-08', 'PR.PS-02', 'PR.PS-06']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['6.2', '6.5', '6.5.1-10']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['6.3.1', '11.3.1', '11.3.1.1']}];FAIL;Container image scan is disabled in subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08).;/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08/providers/Microsoft.Security/pricings/Containers;Containers;defender_container_images_scan_enabled;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
azure;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;7e3283a3-d466-4e6f-95b1-543eec016e08;global;2026-07-02 19:32:49.149800;TVM-04;Define, implement and evaluate processes, procedures and technical measures to update detection tools, threat signatures, and indicators of compromise on a weekly, or more frequent basis.;Threat & Vulnerability Management;Yes;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC7.2']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['No mapping']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['10.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['5.2.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['TS1.3', 'TS1.4', 'TM1.3', 'TM1.4', 'IM1.5']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 6.1.3', '27001: A.5.1.1', '27002: 5.1.1 (h)', '27001: A.12.6.1', '27002: 12.6.1 (b),(c)']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: 6.1.3', '27001: A.5.1', '27001: A.8.8', '27001: A.8.15', '27001: A.8.16', '27002: 5.1', '27002: 5.37', '27002: 8.8', '27002: 8.15 (d)', '27002: 8.16 (d,e)', '27002: 8.31 2nd (a)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['CM-7', 'CM-7(4)', 'RA-3', 'RA-3(3)', 'RA-5(2)', 'SA-10', 'SA-10(5)', 'SA-11', 'SA-11(2)', 'SI-2', 'SI-2(4)', 'SI-3', 'SI-3(4)', 'SI-4', 'SI-4(9)', 'SI-4(24)', 'SI-8', 'SI-8(2)', 'SI-8(3)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['DE.DP-5', 'PR.IP-12']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.PS-02', 'ID.RA-02']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['5.2', '5.2a', '5.2b', '5.2c']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['5.3.1']}];FAIL;Container image scan is disabled in subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08).;/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08/providers/Microsoft.Security/pricings/Containers;Containers;defender_container_images_scan_enabled;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
azure;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;7e3283a3-d466-4e6f-95b1-543eec016e08;global;2026-07-02 19:32:49.149800;TVM-05;Define, implement and evaluate processes, procedures and technical measures to identify updates for applications which use third party or open source libraries according to the organization's vulnerability management policy.;Threat & Vulnerability Management;No;Shared;Shared;CSP-Owned;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC3.2']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['No mapping']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['2.6']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['TM1.1', 'SD2.3']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 6.1.3', '27001: A.12.6.2', '27002: 12.6.2']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: 6.1.3', '27001: A 5.6', '27001: A.8.19', '27001: A.8.8', '27001: A.8.28', '27001: A.8.31', '27002: 5.6 (c)', '27001: 8.19', '27001: 8.8', '27001: 8.28', '27001: 8.31']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['RA-5', 'RA-5(3)', 'SA-11', 'SA-11(2)', 'SA-11(5)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['DE.DP-5', 'PR.IP-12']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['ID.RA-01', 'ID.RA-03', 'PR.PS-02']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['6.1', '6.2', '6.3.2']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['6.3.1', '6.3.2', '6.3.3']}];FAIL;Container image scan is disabled in subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08).;/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08/providers/Microsoft.Security/pricings/Containers;Containers;defender_container_images_scan_enabled;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
azure;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;7e3283a3-d466-4e6f-95b1-543eec016e08;global;2026-07-02 19:32:49.149800;TVM-07;Define, implement and evaluate processes, procedures and technical measures for the detection of vulnerabilities on organizationally managed assets at least monthly.;Threat & Vulnerability Management;Yes;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC7.1']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['TVM-02']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['7.1', '7.5', '7.6']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['5.2.5', '5.2.6']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['TM1.1']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: A.12.6', '27001: A.12.6.1', '27002: 12.6.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.8.8', '27002: 8.8']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['RA-5', 'RA-5(4)', 'RA-5(5)', 'SA-11', 'SA-11(5)', 'SA-15(5)', 'SC-7', 'SC-7(10)', 'SI-3(8)', 'SI-3(10)', 'SI-7', 'SI-7(9)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.RA-1', 'DE.CM-8', 'PR.IP-12']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['ID.RA-01']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['6.1', '11.2', '11.2.1']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['6.3.1', '6.3.2', '6.3.3', '11.3.2', '11.3.2.1']}];FAIL;Container image scan is disabled in subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08).;/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08/providers/Microsoft.Security/pricings/Containers;Containers;defender_container_images_scan_enabled;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
azure;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;7e3283a3-d466-4e6f-95b1-543eec016e08;global;2026-07-02 19:32:49.149800;A&A-02;Conduct independent audit and assurance assessments according to relevant standards at least annually.;Audit & Assurance;Yes;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC4.1']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['AAC-02']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['1.5.2', '5.2.6']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['AS1.1', 'AS2.1']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: A.18.2.1', '27002: 18.2.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.35', '27001: A.5.36']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['CA-2', 'CA-2(1)', 'CA-2(2)', 'CA-7', 'CA-7(1)']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['ID.IM-01']}];FAIL;Defender plan Defender for App Services from subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08) is set to OFF (pricing tier not standard).;/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08/providers/Microsoft.Security/pricings/AppServices;Defender plan App Services;defender_ensure_defender_for_app_services_is_on;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
azure;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;7e3283a3-d466-4e6f-95b1-543eec016e08;global;2026-07-02 19:32:49.149800;A&A-04;Verify compliance with all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit.;Audit & Assurance;Yes;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC3.1']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['GRM-01', 'GRM-03']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['7.1.1']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['AS1.1', 'AS2.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 9.3.2', '27001: A.18.2.2', '27002: 18.2.2', '27001: A.18.2.3', '27002: 18.2.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: 9.3.2', '27001: A.5.31', '27001: A.5.32', '27001: A.5.33', '27001: A.5.34', '27001: A.5.36']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['CA-1']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.GV-3', 'DE.DP-2']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['ID.IM-01']}];FAIL;Defender plan Defender for App Services from subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08) is set to OFF (pricing tier not standard).;/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08/providers/Microsoft.Security/pricings/AppServices;Defender plan App Services;defender_ensure_defender_for_app_services_is_on;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
